unix_time,EPOCH to date,accel_x,accel_y,accel_z,batt_current,batt_voltage,bme_altitude,bme_humidity,bme_pressure,bme_temp,cpu_load,cpu_temp,free_disk,free_memory,gps_alt,gps_lat,gps_lon,gps_num_sats,gps_velocity,gyro_x,gyro_y,gyro_z,i_3v3,i_5v0,i_vbatt,mag_x,mag_y,mag_z,num_resets,packet_count,reg_temp_3v3,reg_temp_5v0,tmp1,tmp1_clean,tmp2,tmp2_clean,used_disk,used_memory,v_3v3,v_5v0,v_vbatt
1763823399,11/22/2025 9:56:39,16016,-4432,-1336,0.4535456299,11.32486979,490.9231117,18.14338167,955.6577116,30.14601563,50.25,63.4,22660640,91912,0,0,0,0,0,935,1254,-2033,0.04760980225,0.2368448242,0.1440602539,-662,101,-409,209,179,41.59828592,43.24938822,29.5625,29.5625,30.6875,30.6875,6203776,269516,3.316294689,5.090971797,11.29638672
1763823433,11/22/2025 9:57:13,2240,-16200,-328,0.4315703369,11.30777995,718.0568037,17.18744401,929.9243021,28.70695313,60.4,61.2,22660564,87960,0,0,0,0,0,-4121,-1716,157,0.04516827393,0.1715293701,0.1403977051,-300,-220,-285,209,181,39.79034154,42.3724628,28.5,28.5,29.125,29.125,6203852,258932,3.308190352,5.103215597,11.32486979
1763823443,11/22/2025 9:57:23,2720,-17200,1344,0.4059324951,11.31917318,801.3168624,16.77442301,920.6330067,28.25792969,36.59,60.1,22660572,87560,0,0,0,0,0,-3223,10839,1704,0.04822018433,0.1385664307,0.1385664307,-544,-107,-106,209,181,40.20377529,42.26926194,28.125,28.125,28.5,28.5,6203844,259056,3.308190352,5.137498235,11.34765625
1763823448,11/22/2025 9:57:28,4280,-15528,312,0.4291286377,11.34765625,838.8660099,16.53595425,916.4674283,28.03058594,62.25,59.6,22660576,82080,0,0,0,0,0,-761,9169,3509,0.04822018433,0.1660355469,0.1465019531,-423,-142,-476,209,181,39.63527492,41.34013953,27.9375,27.9375,28.125,28.125,6203840,260756,3.300086015,5.115459396,11.32486979
1763823450,11/22/2025 9:57:30,4280,-15528,312,0.4236348145,11.32486979,882.1059169,16.31791709,911.6894553,27.69699219,50.75,58.5,22660580,81996,0,0,0,0,0,-761,9169,3509,0.04455789185,0.1690876709,0.1458915283,-423,-142,-476,209,181,38.85970467,40.82371545,27.75,27.75,28.125,28.125,6203836,260832,3.308190352,5.090971797,11.27360026
1763823480,11/22/2025 9:58:00,248,-16920,-936,0.4205826904,11.30777995,1087.356169,16.8951524,889.2837374,26.23058594,62.25,58,22660524,97472,0,0,0,0,0,-2999,13863,-885,0.04394750977,0.1648146973,0.1458915283,-353,-230,-271,209,185,37.61796891,39.79034154,27,27,27.1875,27.1875,6203892,248880,3.321157291,5.135049475,11.29638672
1763823486,11/22/2025 9:58:06,1856,-19104,-2824,0.4248556641,11.29638672,1139.280591,16.77253765,883.6867851,25.89816406,67.25,58,22660528,93396,0,0,0,0,0,-3871,17735,1145,0.0366229248,0.1678668213,0.1465019531,-544,-132,-375,209,186,38.08373869,39.16998022,26.75,26.75,27,27,6203888,251748,3.30332775,5.113010636,11.32486979
1763823507,11/22/2025 9:58:27,5808,-18264,-1328,0.4297390625,11.31917318,1287.7799,15.14258294,867.8372283,24.80871094,50.5,56.4,22660516,80216,0,0,0,0,0,4833,-5999,1861,0.05066171265,0.1635938477,0.1495540771,-471,-198,-194,209,187,37.2556048,39.06656207,26.3125,26.3125,26.4375,26.4375,6203900,264860,3.291981678,5.115459396,11.34765625
1763823510,11/22/2025 9:58:30,6280,-19160,-3136,0.4297390625,11.32486979,1287.7799,15.14258294,867.8372283,24.80871094,66.33,55.8,22660512,89624,0,0,0,0,0,-3545,26920,11657,0.04394750977,0.1635938477,0.1465019531,-369,-226,-333,209,188,37.46268059,38.91142165,26.3125,26.3125,26.4375,26.4375,6203904,255440,3.295223413,5.108113117,11.32486979
1763823511,11/22/2025 9:58:31,6280,-19160,-3136,0.4297390625,11.32486979,1325.256786,14.17825746,863.8738651,24.54074219,66.33,55.8,22660512,89624,0,0,0,0,0,-3545,26920,11657,0.04394750977,0.1635938477,0.1465019531,-369,-226,-333,209,188,37.46268059,38.91142165,26.1875,26.1875,26.4375,26.4375,6203904,255440,3.295223413,5.108113117,11.32486979
