unix_time,EPOCH to date,rm3100_mag_x,rm3100_mag_y,rm3100_mag_z,rm3100_cycle_count,,Mag_x_scaled,Mag_y_scaled,Mag_z_scaled,Magnetic_field_magnitude (uT)
1763821640,11/22/2025 9:27:20,-264,785,3618,200,,,,,
1763821647,11/22/2025 9:27:27,-257,790,3640,200,,,,,
1763821656,11/22/2025 9:27:36,-259,786,3609,200,,,,,
1763821666,11/22/2025 9:27:46,-249,774,3619,200,,,,,
1763821684,11/22/2025 9:28:04,-271,787,3612,200,,,,,
1763821693,11/22/2025 9:28:13,-256,785,3617,200,,,,,
1763821697,11/22/2025 9:28:17,-261,792,3606,200,,,,,
1763821701,11/22/2025 9:28:21,-259,777,3611,200,,,,,
1763821714,11/22/2025 9:28:34,-258,778,3615,200,,,,,
1763821719,11/22/2025 9:28:39,-260,778,3618,200,,,,,
1763821727,11/22/2025 9:28:47,-260,782,3612,200,,,,,
1763821735,11/22/2025 9:28:55,-258,775,3620,200,,,,,
1763821745,11/22/2025 9:29:05,-253,780,3616,200,,,,,
1763821750,11/22/2025 9:29:10,-257,774,3624,200,,,,,
1763821759,11/22/2025 9:29:19,-260,781,3619,200,,,,,
1763821781,11/22/2025 9:29:41,-258,779,3616,200,,,,,
1763821788,11/22/2025 9:29:48,-259,779,3617,200,,,,,
1763821794,11/22/2025 9:29:54,-251,774,3614,200,,,,,
1763821805,11/22/2025 9:30:05,-261,781,3610,200,,,,,
1763821810,11/22/2025 9:30:10,-263,787,3613,200,,,,,
1763821850,11/22/2025 9:30:50,-256,782,3614,200,,,,,
1763821854,11/22/2025 9:30:54,-256,781,3619,200,,,,,
1763821865,11/22/2025 9:31:05,-259,779,3614,200,,,,,
1763821870,11/22/2025 9:31:10,-253,772,3621,200,,,,,
1763821886,11/22/2025 9:31:26,-250,775,3629,200,,,,,
1763821917,11/22/2025 9:31:57,-259,775,3615,200,,,,,
1763821926,11/22/2025 9:32:06,-259,778,3615,200,,,,,
1763821935,11/22/2025 9:32:15,-260,778,3608,200,,,,,
1763821963,11/22/2025 9:32:43,-252,778,3643,200,,,,,
1763821976,11/22/2025 9:32:56,-251,777,3622,200,,,,,
1763821981,11/22/2025 9:33:01,-258,776,3613,200,,,,,
1763822002,11/22/2025 9:33:22,-253,775,3621,200,,,,,
1763822014,11/22/2025 9:33:34,-258,777,3624,200,,,,,
1763822040,11/22/2025 9:34:00,-255,773,3620,200,,,,,
1763822051,11/22/2025 9:34:11,-247,782,3624,200,,,,,
1763822060,11/22/2025 9:34:20,-259,778,3613,200,,,,,
1763822069,11/22/2025 9:34:29,-252,783,3614,200,,,,,
1763822079,11/22/2025 9:34:39,-256,778,3616,200,,,,,
1763822091,11/22/2025 9:34:51,-252,774,3618,200,,,,,
1763822097,11/22/2025 9:34:57,-257,783,3616,200,,,,,
1763822108,11/22/2025 9:35:08,-257,779,3617,200,,,,,
1763822130,11/22/2025 9:35:30,-255,782,3619,200,,,,,
1763822141,11/22/2025 9:35:41,-255,780,3615,200,,,,,
1763822149,11/22/2025 9:35:49,-254,779,3613,200,,,,,
1763822163,11/22/2025 9:36:03,-253,790,3610,200,,,,,
1763822169,11/22/2025 9:36:09,-263,787,3607,200,,,,,
1763822175,11/22/2025 9:36:15,-254,777,3621,200,,,,,
1763822179,11/22/2025 9:36:19,-245,771,3625,200,,,,,
1763822185,11/22/2025 9:36:25,-261,783,3618,200,,,,,
1763822192,11/22/2025 9:36:32,-253,777,3617,200,,,,,
1763822195,11/22/2025 9:36:35,-252,777,3617,200,,,,,
1763822210,11/22/2025 9:36:50,-257,775,3614,200,,,,,
1763822214,11/22/2025 9:36:54,-256,781,3618,200,,,,,
1763822227,11/22/2025 9:37:07,-257,778,3616,200,,,,,
1763822231,11/22/2025 9:37:11,-257,781,3614,200,,,,,
1763822243,11/22/2025 9:37:23,-254,783,3610,200,,,,,
1763822253,11/22/2025 9:37:33,-245,774,3626,200,,,,,
1763822259,11/22/2025 9:37:39,-254,775,3613,200,,,,,
1763822263,11/22/2025 9:37:43,-255,782,3607,200,,,,,
1763822270,11/22/2025 9:37:50,-256,783,3610,200,,,,,
1763822275,11/22/2025 9:37:55,-258,785,3615,200,,,,,
1763822283,11/22/2025 9:38:03,-250,775,3619,200,,,,,
1763822292,11/22/2025 9:38:12,-258,777,3617,200,,,,,
1763822300,11/22/2025 9:38:20,-254,784,3617,200,,,,,
1763822309,11/22/2025 9:38:29,-256,778,3619,200,,,,,
1763822313,11/22/2025 9:38:33,-256,777,3620,200,,,,,
1763822326,11/22/2025 9:38:46,-260,780,3619,200,,,,,
1763822342,11/22/2025 9:39:02,-258,777,3618,200,,,,,
1763822350,11/22/2025 9:39:10,-252,776,3618,200,,,,,
1763822356,11/22/2025 9:39:16,-256,777,3621,200,,,,,
1763822365,11/22/2025 9:39:25,-253,782,3617,200,,,,,
1763822374,11/22/2025 9:39:34,-256,780,3624,200,,,,,
1763822381,11/22/2025 9:39:41,-257,777,3613,200,,,,,
1763822408,11/22/2025 9:40:08,-253,782,3618,200,,,,,
1763822417,11/22/2025 9:40:17,-255,779,3617,200,,,,,
1763822426,11/22/2025 9:40:26,-254,775,3618,200,,,,,
1763822434,11/22/2025 9:40:34,-259,779,3615,200,,,,,
1763822453,11/22/2025 9:40:53,-258,785,3607,200,,,,,
1763822463,11/22/2025 9:41:03,-248,777,3621,200,,,,,
1763822487,11/22/2025 9:41:27,-254,780,3616,200,,,,,
1763822517,11/22/2025 9:41:57,-251,778,3617,200,,,,,
1763822526,11/22/2025 9:42:06,-251,783,3611,200,,,,,
1763822535,11/22/2025 9:42:15,-248,781,3614,200,,,,,
1763822549,11/22/2025 9:42:29,-254,775,3623,200,,,,,
1763822564,11/22/2025 9:42:44,-246,781,3612,200,,,,,
1763822582,11/22/2025 9:43:02,-252,783,3612,200,,,,,
1763822592,11/22/2025 9:43:12,-259,789,3607,200,,,,,
1763822598,11/22/2025 9:43:18,-253,780,3620,200,,,,,
1763822620,11/22/2025 9:43:40,-258,779,3614,200,,,,,
1763822628,11/22/2025 9:43:48,-252,778,3625,200,,,,,
1763822634,11/22/2025 9:43:54,-250,776,3620,200,,,,,
1763822657,11/22/2025 9:44:17,-253,786,3611,200,,,,,
1763822666,11/22/2025 9:44:26,-256,781,3614,200,,,,,
1763822673,11/22/2025 9:44:33,-253,777,3608,200,,,,,
1763822687,11/22/2025 9:44:47,-250,783,3617,200,,,,,
1763822692,11/22/2025 9:44:52,-251,782,3608,200,,,,,
