accel_x,accel_y,accel_z,batt_current,batt_voltage,bme_altitude,bme_humidity,bme_pressure,bme_temp,cpu_load,cpu_temp,free_disk,free_memory,gps_alt,gps_lat,gps_lon,gps_num_sats,gps_velocity,gyro_x,gyro_y,gyro_z,i_3v3,i_5v0,i_vbatt,mag_x,mag_y,mag_z,num_resets,packet_count,reg_temp_3v3,reg_temp_5v0,temp,temp2,temp3,tmp1,tmp2,unix_time,used_disk,used_memory,v_3v3,v_5v0,v_vbatt
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.95370654551016,31.56752709834161,981.243090152856,23.9430859375,33.58,50.5,22665976.0,101232.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758174.4940276,6198440.0,194752.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.95370654551016,31.56752709834161,981.243090152856,23.9430859375,33.58,50.5,22665976.0,101232.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758176.82214,6198440.0,194752.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.95370654551016,31.56752709834161,981.243090152856,23.9430859375,33.58,50.5,22665976.0,101232.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758178.551996,6198440.0,194752.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.9114756034388,31.57263123483349,981.248032400798,23.937421875,33.58,50.5,22665976.0,101232.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758179.4503057,6198440.0,194752.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.9114756034388,31.57263123483349,981.248032400798,23.937421875,31.33,49.4,22665976.0,100484.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758181.7562506,6198440.0,195496.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.9114756034388,31.57263123483349,981.248032400798,23.937421875,31.33,49.4,22665976.0,100484.0,23530.0,41.9764695,-84.7939115,8.0,2.19410366,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758183.1051192,6198440.0,195496.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.9114756034388,31.57263123483349,981.248032400798,23.937421875,31.33,49.4,22665976.0,100484.0,23582.0,41.9763873333,-84.7936435,8.0,2.264068044,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758184.852285,6198440.0,195496.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.33,49.4,22665976.0,100484.0,23582.0,41.9763873333,-84.7936435,8.0,2.264068044,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758186.0862432,6198440.0,195496.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.41,50.5,22665976.0,100084.0,23582.0,41.9763873333,-84.7936435,8.0,2.264068044,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758188.2057157,6198440.0,195872.0,3.353574639124586,5.113010636295181,12.401529947916668
-832.0,16264.0,496.0,0.1605417236328125,12.395833333333334,269.7055533862169,31.532826259349303,981.2721315754508,23.9305859375,31.41,50.5,22665976.0,100084.0,23594.0,41.9763355,-84.7935471667,8.0,1.191452304,-182.0,-54.0,267.0,0.0408955993652343,0.1202536865234374,0.0323525146484375,-410.0,413.0,-41.0,164.0,11.0,32.69277497954022,32.48504698528859,1.0,3.0,6.0,24.5625,25.625,1763758189.2712245,6198440.0,195872.0,3.353574639124586,5.113010636295181,12.401529947916668
