temp,temp2,temp3,unix_time,gps_lat,gps_lon,gps_alt,gps_velocity,gps_num_sats,cpu_temp,cpu_load,used_memory,free_memory,used_disk,free_disk,tmp1,bme_temp,bme_humidity,bme_pressure,bme_altitude,batt_voltage,batt_current,v_3v3,i_3v3,v_5v0,i_5v0,v_vbatt,i_vbatt,reg_temp_3v3,reg_temp_5v0,tmp2,packet_count,num_resets,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1,3,6,1763694283.690043,41.9972788333,-84.8750306667,18434,10.556905324,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.543671875,37.13309839471593,984.5973708949728,241.3312885676352,11.598307291666668,0.28689965820312496,3.340607699968957,0.03784368896484375,5.0934205572289155,0.25027416992187496,11.615397135416668,0.029910815429687498,27.074082302190163,29.729956254325998,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694284.680598,41.9972788333,-84.8750306667,18434,10.556905324,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.4891796875,37.313665654921664,984.6147852680677,241.18289610685787,11.598307291666668,0.28689965820312496,3.340607699968957,0.03784368896484375,5.0934205572289155,0.25027416992187496,11.615397135416668,0.029910815429687498,27.074082302190163,29.729956254325998,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694284.9498649,41.9972671667,-84.8748106667,18441,10.147407900000001,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.4891796875,37.313665654921664,984.6147852680677,241.18289610685787,11.598307291666668,0.28689965820312496,3.340607699968957,0.03784368896484375,5.0934205572289155,0.25027416992187496,11.615397135416668,0.029910815429687498,27.074082302190163,29.729956254325998,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694285.944557,41.9972671667,-84.8748106667,18441,10.147407900000001,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.4891796875,37.313665654921664,984.6147852680677,241.18289610685787,11.598307291666668,0.28689965820312496,3.340607699968957,0.03784368896484375,5.0934205572289155,0.25027416992187496,11.615397135416668,0.029910815429687498,27.074082302190163,29.729956254325998,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694288.713688,41.9972671667,-84.8748106667,18441,10.147407900000001,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.493671875,37.30248391461208,984.5939838537967,241.36015068463746,11.598307291666668,0.28689965820312496,3.340607699968957,0.03784368896484375,5.0934205572289155,0.25027416992187496,11.615397135416668,0.029910815429687498,27.074082302190163,29.729956254325998,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694289.285774,41.9972671667,-84.8748106667,18441,10.147407900000001,7,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.493671875,37.30248391461208,984.5939838537967,241.36015068463746,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694289.946694,41.9972351667,-84.8743295,18460,7.589077888,6,51.0,41.56,277464,36912,6197412,22667004,22.3125,23.493671875,37.30248391461208,984.5939838537967,241.36015068463746,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694291.4149916,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.493671875,37.30248391461208,984.5939838537967,241.36015068463746,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694294.4295287,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694295.525168,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-160,17176,228,395,140,-284,-98,-43
1,3,6,1763694296.7646852,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,177,162,-104,-240,17296,-77,244,-820,-286,-101,-36
1,3,6,1763694297.0630848,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-104,-240,17296,-77,244,-820,-286,-101,-36
1,3,6,1763694298.2034023,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-104,-240,17296,-77,244,-820,-286,-101,-36
1,3,6,1763694299.8242414,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-104,-240,17296,-77,244,-820,-286,-101,-36
1,3,6,1763694300.9913847,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-104,-240,17296,-77,244,-820,-286,-101,-36
1,3,6,1763694302.4597046,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.4784375,37.28350811641713,984.618517751857,241.15109090575845,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694303.5451944,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.427265625,37.25511936544862,984.5781919021803,241.4947202767994,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694306.2102792,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.427265625,37.25511936544862,984.5781919021803,241.4947202767994,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694307.3111308,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.427265625,37.25511936544862,984.5781919021803,241.4947202767994,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694309.1349542,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,42.75,275592,38752,6197420,22666996,22.3125,23.413203125,37.24789677819167,984.5975984951127,241.32934911317724,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694311.5271156,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,32.49,284384,29920,6197428,22666988,22.3125,23.413203125,37.24789677819167,984.5975984951127,241.32934911317724,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694312.6331284,41.9972351667,-84.8743295,18460,7.589077888,6,50.5,32.49,284384,29920,6197428,22666988,22.3125,23.413203125,37.24789677819167,984.5975984951127,241.32934911317724,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694313.3184159,41.9973811667,-84.8721328333,18527,10.77502958,7,50.5,32.49,284384,29920,6197428,22666988,22.375,23.413203125,37.24789677819167,984.5975984951127,241.32934911317724,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694314.664178,41.9973811667,-84.8721328333,18527,10.77502958,7,50.5,32.49,284384,29920,6197428,22666988,22.375,23.413203125,37.242083512648534,984.5625624481015,241.62790688265312,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694318.5336556,41.9973811667,-84.8721328333,18527,10.77502958,7,50.5,32.49,280072,34208,6197428,22666988,22.375,23.413203125,37.242083512648534,984.5625624481015,241.62790688265312,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694319.9758866,41.9974475,-84.8714783333,18561,8.232647332,7,50.5,32.49,280072,34208,6197428,22666988,22.375,23.4055859375,37.2413205282347,984.5783293904902,241.49354867588812,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694321.2012231,41.9974475,-84.8714783333,18561,8.232647332,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.4055859375,37.2413205282347,984.5783293904902,241.49354867588812,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694323.125968,41.9974475,-84.8714783333,18561,8.232647332,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.4055859375,37.2413205282347,984.5783293904902,241.49354867588812,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694324.6936123,41.9974475,-84.8714783333,18561,8.232647332,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.39796875,37.25799747399556,984.6151168685501,241.18007047241133,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694324.9145293,41.9974561667,-84.8708161667,18587,11.801859804,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.39796875,37.25799747399556,984.6151168685501,241.18007047241133,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694327.7445538,41.9974561667,-84.8708161667,18587,11.801859804,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.39796875,37.25799747399556,984.6151168685501,241.18007047241133,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694328.915348,41.9974168333,-84.8702431667,18607,12.52156696,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.39796875,37.25799747399556,984.6151168685501,241.18007047241133,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694330.5222354,41.9974168333,-84.8702431667,18607,12.52156696,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.3809765625,37.24466877238777,984.6227966557333,241.1146296757383,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694331.7578516,41.9974168333,-84.8702431667,18607,12.52156696,7,50.5,32.49,280072,34208,6197428,22666988,22.3125,23.3809765625,37.24466877238777,984.6227966557333,241.1146296757383,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694333.6330082,41.9974036667,-84.8696846667,18627,11.969568548,7,50.5,62.88,282108,34160,6197432,22666984,22.3125,23.3809765625,37.24466877238777,984.6227966557333,241.1146296757383,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694334.7392879,41.9974036667,-84.8696846667,18627,11.969568548,7,50.5,62.88,282108,34160,6197432,22666984,22.3125,23.3809765625,37.24466877238777,984.6227966557333,241.1146296757383,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694335.9476006,41.9973475,-84.869239,18642,13.289631852,7,50.5,62.88,282108,34160,6197432,22666984,22.3125,23.36125,37.271759673169015,984.6190659880527,241.14641928954975,11.609700520833334,0.27591201171874996,3.3389868325745033,0.030519104003906245,5.095869317112199,0.23684482421874997,11.62109375,0.029910815429687498,27.2304395605031,29.781985572916255,21.875,178,162,-72,-448,16944,205,58,231,-286,-93,-29
1,3,6,1763694337.7943838,41.9973475,-84.869239,18642,13.289631852,7,50.5,62.88,282108,34160,6197432,22666984,22.3125,23.36125,37.271759673169015,984.6190659880527,241.14641928954975,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-120,-152,17136,134,47,-442,-283,-92,-33
1,3,6,1763694339.9554415,41.9973475,-84.869239,18642,13.289631852,7,51.5,32.49,281408,34844,6197432,22666984,22.3125,23.36125,37.271759673169015,984.6190659880527,241.14641928954975,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-120,-152,17136,134,47,-442,-283,-92,-33
1,3,6,1763694341.5482233,41.9972965,-84.8685103333,18673,11.833755332,7,51.5,32.49,281408,34844,6197432,22666984,22.3125,23.36125,37.271759673169015,984.6190659880527,241.14641928954975,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-120,-152,17136,134,47,-442,-283,-92,-33
1,3,6,1763694342.8091211,41.9972965,-84.8685103333,18673,11.833755332,7,51.5,32.49,281408,34844,6197432,22666984,22.3125,23.3462109375,37.31095362878756,984.6018609849333,241.29302712488376,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-120,-152,17136,134,47,-442,-283,-92,-33
1,3,6,1763694345.3237574,41.9972736667,-84.8679675,18688,11.837870883999999,7,51.5,39.8,281400,34832,6197436,22666980,22.3125,23.3462109375,37.31095362878756,984.6018609849333,241.29302712488376,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-120,-152,17136,134,47,-442,-283,-92,-33
1,3,6,1763694346.0538273,41.9972736667,-84.8679675,18688,11.837870883999999,7,51.5,39.8,281400,34832,6197436,22666980,22.3125,23.3462109375,37.31095362878756,984.6018609849333,241.29302712488376,11.5869140625,0.28689965820312496,3.340607699968957,0.03479177856445312,5.0811767578125,0.24661162109374998,11.60400390625,0.029910815429687498,27.074082302190163,29.781985572916255,21.875,178,162,-208,-440,17120,-195,578,-296,-293,-92,-37
1,3,6,1763694348.6174233,41.9972736667,-84.8679675,18688,11.837870883999999,7,51.5,39.8,281400,34832,6197436,22666980,22.3125,23.3462109375,37.31095362878756,984.6018609849333,241.29302712488376,11.592610677083334,0.28506838378906246,3.348712036941225,0.03845407104492187,5.098318076995482,0.24111779785156248,11.598307291666668,0.029910815429687498,27.126203188323643,29.834013100885386,21.875,178,162,-208,-440,17120,-195,578,-296,-293,-92,-37
